Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Student Academics Performance,9/15/2018,N/A,Multivariate,Computer Science,Classification,-,300,22
Plants,12/30/2008,N/A,Multivariate,Biology,Clustering,Categorical,34781,70
Census-Income (KDD),3/6/2000,N/A,Multivariate,Social Science,Classification,"Categorical, Integer",299285,41
Pen-Based Recognition of Handwritten Digits,6/30/1998,N/A,Multivariate,Computer Science,Classification,Integer,10992,16
Mammographic Mass,10/28/2007,N/A,Multivariate,Health and Medicine,Classification,Integer,961,5
Dow Jones Index,10/22/2014,N/A,Time-Series,Business,"Classification, Clustering","Integer, Real",750,15
Pedestrians in Traffic,7/3/2019,N/A,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Causal-Discovery",Real,4760,14
MNIST Database of Handwritten Digits,Linked on 10/16/2021,N/A,Image,Other,Classification,Real,70000,-
Contraceptive Method Choice,7/6/1997,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Integer",1473,9
Hepatitis C Virus (HCV) for Egyptian patients,9/29/2019,N/A,Multivariate,Health and Medicine,Classification,Real,1385,28
Airfoil Self-Noise,3/3/2014,N/A,Multivariate,Physics and Chemistry,Regression,Real,1503,5
EMG Data for Gestures,1/6/2019,N/A,Time-Series,Health and Medicine,Classification,Real,30000,-
Basketball dataset,7/1/2019,N/A,Time-Series,Games,Classification,Integer,10000,7
Gas Turbine CO and NOx Emission Data Set,11/28/2019,N/A,Multivariate,Computer Science,"Regression, Clustering",Real,36733,12
Heterogeneity Activity Recognition,10/25/2015,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Clustering",Real,43930257,-
Travel Review Ratings,12/18/2018,N/A,"Multivariate, Text",Other,"Classification, Clustering",Real,5456,24
Flags,5/14/1990,N/A,Multivariate,Other,Classification,"Categorical, Integer",194,30
Hierarchical Sales Data,7/2/2021,N/A,Time-Series,Engineering,"Clustering, Other",-,1798,237
Single Elder Home Monitoring: Gas and Position,5/27/2023,N/A,Tabular,Engineering,Classification,Real,444631,10
Drug Reviews (Druglib.com),10/1/2018,N/A,"Multivariate, Text",Health and Medicine,"Classification, Regression, Clustering",Integer,4143,8
Rice Leaf Diseases,4/13/2019,N/A,Multivariate,Computer Science,Classification,Integer,120,-
Echocardiogram,2/27/1989,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Integer, Real",132,9
Balloons,N/A,N/A,Multivariate,Social Science,Classification,Categorical,16,4
Traffic Flow Forecasting,5/14/2022,N/A,Other,Computer Science,Regression,-,2101,-
ISTANBUL STOCK EXCHANGE,5/31/2013,N/A,"Multivariate, Univariate, Time-Series",Business,"Classification, Regression",Real,536,10
Year Prediction MSD,2/6/2011,N/A,Multivariate,Other,Regression,Real,515345,-
Educational Process Mining (EPM): A Learning Analytics Data Set,9/23/2015,N/A,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Clustering",Integer,230318,-
DeFungi,1/28/2023,N/A,Image,Computer Science,Classification,Real,9114,-
Haberman's Survival,3/3/1999,N/A,Multivariate,Health and Medicine,Classification,Integer,306,3
HARTH,2/20/2023,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,6461328,8
Paper Reviews,10/22/2017,N/A,Text,Computer Science,"Classification, Regression",Integer,405,10
Occupancy Detection,2/28/2016,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,20560,6
Cervical Cancer Behavior Risk,7/16/2019,N/A,"Multivariate, Univariate",Health and Medicine,"Classification, Clustering",Integer,72,19
South German Credit,11/28/2019,N/A,Multivariate,Business,"Classification, Regression, Clustering","Integer, Real",1000,21
Communities and Crime Unnormalized,3/1/2011,N/A,Multivariate,Social Science,Regression,Real,2215,125
Statlog (Landsat Satellite),2/12/1993,N/A,Multivariate,Climate and Environment,Classification,Integer,6435,36
Autistic Spectrum Disorder Screening Data for Children,12/23/2017,N/A,Multivariate,Health and Medicine,Classification,Integer,292,20
HAR70+,2/22/2023,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,2259597,6
Air quality,7/21/2016,N/A,"Multivariate, Time-Series",Other,Regression,Real,9358,15
Statlog (Shuttle),N/A,N/A,Multivariate,Physics and Chemistry,Classification,Integer,58000,7
OPPORTUNITY Activity Recognition,6/8/2012,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,2551,-
Sepsis Survival Minimal Clinical Records,7/9/2023,N/A,Multivariate,Health and Medicine,Classification,Integer,110341,3
Amazon Commerce Reviews,6/10/2011,N/A,"Multivariate, Text, Domain-Theory",Other,Classification,Real,1500,10000
